City_ID,City,Country,Max Temp,Current Condition,Lat,Lng,Hotel Name
0,Tuktoyaktuk,CA,23.0,overcast clouds,69.4541,-133.0374,End of The Road Ltd.
5,Kaitangata,NZ,51.15,overcast clouds,-46.2817,169.8464,Kaitangata Motor Camp
12,Ushuaia,AR,46.06,clear sky,-54.8,-68.3,Albatros Hotel
13,Busselton,AU,51.04,broken clouds,-33.65,115.3333,Observatory Guest House
15,Eureka,US,58.62,overcast clouds,40.8021,-124.1637,Eureka Inn Trademark By Wyndham
20,Hobart,AU,51.26,broken clouds,-42.8794,147.3294,Mantra on Collins Hobart
21,Narsaq,GL,30.38,broken clouds,60.9167,-46.05,Sleep In Narsaq
24,Khatanga,RU,2.95,overcast clouds,71.9667,102.5,"Gostinitsa ""Zapolyar'ye"""
26,Mataura,NZ,51.33,few clouds,-46.1927,168.8643,Ellie's Villa
27,Healdsburg,US,59.31,mist,38.6105,-122.8692,Best Western Dry Creek Inn
32,Newport,GB,57.2,scattered clouds,51.5877,-2.9984,ibis budget Newport
33,Nikolskoye,RU,47.88,broken clouds,59.7035,30.7861,Tourist House - Sablino
34,Clyde River,CA,30.43,snow,70.4692,-68.5914,Qamaq Hotel
42,Aklavik,CA,17.6,fog,68.2191,-135.0107,Aklavik Inn
46,New Norfolk,AU,50.92,light rain,-42.7826,147.0587,The Shingles Riverside Cottages
47,Hasaki,JP,55.8,broken clouds,35.7333,140.8333,Hotel Sunrise Choshi
48,Jinchang,CN,43.84,clear sky,38.4953,102.1739,Mingshihui Jinchang International Hotel
49,Okha,RU,30.16,overcast clouds,53.5739,142.9478,Империя
50,Jamestown,US,50.29,overcast clouds,42.097,-79.2353,Hampton Inn & Suites Jamestown
52,Punta Arenas,CL,50.11,clear sky,-53.15,-70.9167,Hotel Dreams Del Estrecho
56,Baljevac,BA,56.97,clear sky,44.8206,15.7799,Bed and Breakfast Sandy
61,Grindavik,IS,46.35,few clouds,63.8424,-22.4338,Northern Light Inn & Max's Restaurant
65,Sioux Lookout,CA,46.47,broken clouds,50.1001,-91.917,Knobby's Fly-In Camps
66,Kenai,US,40.03,light rain,60.5544,-151.2583,Aspen Extended Stay Suites
68,Wloclawek,PL,59.41,clear sky,52.6482,19.0678,Hotel Młyn & SPA
69,Bluff,NZ,53.87,few clouds,-46.6,168.3333,Bluff Homestead - Guesthouse & Campervan Park
70,Lebu,CL,54.81,broken clouds,-37.6167,-73.65,Hostal Las Lilas
76,Sitka,US,40.82,overcast clouds,57.0531,-135.33,Westmark Sitka
77,Reshetnikovo,RU,50.79,broken clouds,56.45,36.5667,Obshchaga
79,Kamaishi,JP,52.39,overcast clouds,39.2667,141.8833,Hotel Route Inn Kamaishi
80,Kodiak,US,47.71,moderate rain,57.79,-152.4072,Best Western Kodiak Inn And Convention Center
84,Cortez,US,50.41,clear sky,37.3489,-108.5859,Sand Canyon National 9 Inn
86,Mrakovo,RU,40.48,overcast clouds,52.7161,56.6244,Putnik
87,Te Anau,NZ,46.67,broken clouds,-45.4167,167.7167,Kingsgate Hotel Te Anau
90,Novyy Urengoy,RU,12.24,overcast clouds,66.0833,76.6333,Apartments Moy Dom na Gubkina
94,Barrow,US,8.01,overcast clouds,71.2906,-156.7887,King Eider Inn
99,Nemuro,JP,47.86,clear sky,43.3236,145.575,Hotel Nemuro Kaiyoutei
101,Chapais,CA,40.78,overcast clouds,49.7834,-74.8492,Hôtel Opémiska
104,Seoul,KR,53.04,clear sky,37.5683,126.9778,Lotte Hotel Seoul
108,Anderson,US,56.64,broken clouds,34.5334,-82.6499,The Bleckley Inn
109,Thompson,CA,28.56,broken clouds,55.7435,-97.8558,Burntwood Hotel
116,Qaanaaq,GL,1.98,clear sky,77.484,-69.3632,Qaanaaq Hotel
118,Fort Nelson,CA,17.19,clear sky,58.8053,-122.7002,The Fort Nelson Hotel
119,Hlukhiv,UA,46.98,clear sky,51.6782,33.9162,"ЗАМІСЬКИЙ ОЗДОРОВЧИЙ ДИТЯЧО-ЮНАЦЬКИЙ ТАБІР ""СОНЯЧНИЙ"""
125,Husavik,IS,39.11,overcast clouds,66.0449,-17.3389,Bjarnabúð
130,Olafsvik,IS,42.94,scattered clouds,64.8945,-23.7142,Hotel Olafsvik
131,Urengoy,RU,13.89,overcast clouds,65.9667,78.3667,Gostinnitsa Medveditsa
132,Casper,US,43.72,broken clouds,42.8666,-106.3131,Ramkota Hotel
133,Nanortalik,GL,35.11,broken clouds,60.1432,-45.2371,Hotel Kap Farvel
136,Bagdarin,RU,22.53,scattered clouds,54.4333,113.6,Gostevoy Dom Terem
143,Verkhnevilyuysk,RU,13.6,broken clouds,63.4453,120.3167,Gostinitsa Mila
144,Fortuna,US,58.35,overcast clouds,40.5982,-124.1573,Super 8 by Wyndham Fortuna
146,Severo-Kurilsk,RU,39.58,clear sky,50.6789,156.125,Kak Doma
148,Ulverstone,AU,49.28,overcast clouds,-41.15,146.1667,Westella Colonial Bed & Breakfast
149,Klaksvik,FO,49.12,overcast clouds,62.2266,-6.589,Airbnb rooms
151,Iqaluit,CA,40.73,light rain,63.7506,-68.5145,Frobisher Inn
155,Andra,RU,12.6,scattered clouds,62.5147,65.8878,"Gostinitsa ""Ob'"""
156,Lompoc,US,55.31,mist,34.6391,-120.4579,"Holiday Inn Express Lompoc, an IHG Hotel"
165,Torbay,CA,51.28,few clouds,47.6666,-52.7314,Gallows Cove
169,Tasiilaq,GL,17.91,few clouds,65.6145,-37.6368,The Red House
174,Port Lincoln,AU,52.27,clear sky,-34.7333,135.8667,Port Lincoln Hotel
176,Upernavik,GL,23.52,overcast clouds,72.7868,-56.1549,Gina's Guesthouse - Upernavik
185,Zalantun,CN,28.89,broken clouds,48.0,122.7167,GreenTree Alliance Hulunbeier Zhalantun Railway Station Hotel
191,Coihaique,CL,48.81,few clouds,-45.5752,-72.0662,Diego De Almagro Coyhaique
194,Salihorsk,BY,50.9,few clouds,52.7876,27.5415,Apartment on Parkovoy 26
195,Petrila,RO,56.26,clear sky,45.45,23.4167,Popasul Haiducilor
197,Yellowknife,CA,27.41,overcast clouds,62.456,-114.3525,The Explorer Hotel
200,Vrangel,RU,53.78,overcast clouds,42.7297,133.0839,"Отель ""БАЛИ"""
201,Bulgan,MN,30.52,scattered clouds,48.8125,103.5347,Unitel Булган салбар
203,Raudeberg,NO,54.19,broken clouds,61.9875,5.1352,Nordre Silda.
206,Talnakh,RU,18.16,light snow,69.4865,88.3972,Talnakh Hotel
207,Fairbanks,US,26.42,broken clouds,64.8378,-147.7164,Westmark Fairbanks Hotel & Conference Center
211,Desna,UA,46.92,clear sky,50.9273,30.7605,Бомж-Ти-Хаус
213,Georgiyevka,KZ,42.84,clear sky,43.0369,74.7114,Gostinitsa Imperiya
217,Dronten,NL,58.28,light rain,52.5,5.7167,Hotel Het Galjoen
219,Sulina,RO,54.41,few clouds,45.1559,29.6536,Hotel Delta Est
224,Coquimbo,CL,55.13,light intensity drizzle,-29.9533,-71.3436,Punto de encuentro
231,Yinchuan,CN,48.34,clear sky,38.4681,106.2731,JJ Inns - Yinchuan New Moon Square Branch
232,Tommot,RU,11.61,few clouds,58.9564,126.2925,Gostinitsa Tommot
235,Havoysund,NO,38.28,broken clouds,70.9963,24.6622,Arctic View Glamping & Restaurant
237,Sterling,US,59.4,overcast clouds,39.0062,-77.4286,Hampton Inn & Suites Washington-Dulles International Airport
239,Urdoma,RU,32.05,overcast clouds,61.7533,48.5442,Vikonda
240,Portland,US,51.01,clear sky,45.5234,-122.6762,Embassy Suites by Hilton Portland Downtown
244,Varkaus,FI,46.51,overcast clouds,62.3153,27.873,Hotel Oscar
249,Hofn,IS,43.48,light rain,64.2539,-15.2082,Hótel Höfn
251,Ilinskiy,RU,51.51,clear sky,55.619,38.1182,Around the world
254,Takikawa,JP,41.32,overcast clouds,43.5528,141.9064,Hokkaido Kodomonokuni Camping Ground
256,Williams Lake,CA,22.57,clear sky,52.1415,-122.1445,Stampeder Motel
257,Novobirilyussy,RU,25.9,broken clouds,56.9514,90.6661,Gostinitsa
264,Ilulissat,GL,29.7,overcast clouds,69.2167,-51.1,Hotel Arctic
267,Novaya Malykla,RU,48.29,overcast clouds,54.2,49.95,Gostinitsa
268,Dunedin,NZ,59.81,clear sky,-45.8742,170.5036,Scenic Hotel Southern Cross
269,Prince Rupert,CA,44.29,overcast clouds,54.3161,-130.3201,Crest Hotel
270,Aktau,KZ,52.38,clear sky,43.65,51.2,Silk Way Hotel
272,Longyearbyen,SJ,19.24,few clouds,78.2186,15.6401,"Radisson Blu Polar Hotel, Spitsbergen"
274,Nome,US,10.56,few clouds,64.5011,-165.4064,Dredge 7 Inn
277,La Ronge,CA,32.25,broken clouds,55.1001,-105.2842,Northland Motor Hotel
278,Gavrilovka Vtoraya,RU,44.78,few clouds,52.877,42.7663,"Kafe, Gostinitsa."
283,Rawson,AR,56.57,clear sky,-43.3002,-65.1023,Hosteria Sampedro
287,Svetlogorsk,BY,49.8,clear sky,52.6333,29.7333,Hotel Svetlogorsk JBIK
