City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Condition,Date
0,Tuktoyaktuk,CA,69.4541,-133.0374,23.0,93,90,9.22,overcast clouds,2021-10-30 14:55:57
1,Ahuimanu,US,21.4447,-157.8378,72.46,81,2,2.55,clear sky,2021-10-30 14:55:57
2,Dikson,RU,73.5069,80.5464,8.65,90,100,16.62,overcast clouds,2021-10-30 14:55:58
3,Atuona,PF,-9.8,-139.0333,77.36,69,18,15.93,few clouds,2021-10-30 14:55:58
4,East London,ZA,-33.0153,27.9116,67.14,72,20,20.71,few clouds,2021-10-30 14:55:59
5,Kaitangata,NZ,-46.2817,169.8464,51.15,82,85,5.01,overcast clouds,2021-10-30 14:55:59
6,Rikitea,PF,-23.1203,-134.9692,74.84,83,78,21.23,broken clouds,2021-10-30 14:55:59
7,Mahebourg,MU,-20.4081,57.7,76.24,78,40,6.91,scattered clouds,2021-10-30 14:56:00
8,Okhotsk,RU,59.3833,143.3,13.21,70,2,18.84,clear sky,2021-10-30 14:56:00
9,San Cristobal,VE,7.7669,-72.225,77.18,76,100,3.6,overcast clouds,2021-10-30 14:56:00
10,Bethel,US,41.3712,-73.414,61.5,97,93,3.0,light rain,2021-10-30 14:56:01
11,Matara,LK,5.9485,80.5353,77.74,91,99,5.93,overcast clouds,2021-10-30 14:56:02
12,Ushuaia,AR,-54.8,-68.3,46.06,53,0,19.57,clear sky,2021-10-30 14:51:24
13,Busselton,AU,-33.65,115.3333,51.04,90,57,7.76,broken clouds,2021-10-30 14:56:03
14,Ossora,RU,59.2353,163.0719,16.56,91,58,4.54,broken clouds,2021-10-30 14:56:03
15,Eureka,US,40.8021,-124.1637,58.62,95,93,3.85,overcast clouds,2021-10-30 14:56:03
16,Kuloy,RU,61.0305,42.4925,44.69,88,100,6.53,overcast clouds,2021-10-30 14:56:04
17,Hermanus,ZA,-34.4187,19.2345,75.79,70,31,12.44,scattered clouds,2021-10-30 14:56:04
18,Paciran,ID,-6.8767,112.3761,82.74,75,100,4.18,moderate rain,2021-10-30 14:56:05
19,Port Alfred,ZA,-33.5906,26.891,68.7,74,0,18.28,clear sky,2021-10-30 14:56:05
20,Hobart,AU,-42.8794,147.3294,51.26,66,75,5.01,broken clouds,2021-10-30 14:56:05
21,Narsaq,GL,60.9167,-46.05,30.38,68,73,4.25,broken clouds,2021-10-30 14:56:06
22,Saint George,US,37.1041,-113.5841,60.53,40,5,3.8,clear sky,2021-10-30 14:56:06
23,Puerto Ayora,EC,-0.7393,-90.3518,71.56,82,85,8.72,overcast clouds,2021-10-30 14:56:06
24,Khatanga,RU,71.9667,102.5,2.95,95,100,1.95,overcast clouds,2021-10-30 14:56:07
25,Bilma,NE,18.6853,12.9164,96.31,11,14,9.84,few clouds,2021-10-30 14:56:07
26,Mataura,NZ,-46.1927,168.8643,51.33,56,14,6.29,few clouds,2021-10-30 14:54:48
27,Healdsburg,US,38.6105,-122.8692,59.31,87,90,1.01,mist,2021-10-30 14:56:08
28,Kavieng,PG,-2.5744,150.7967,83.39,75,75,12.35,broken clouds,2021-10-30 14:56:08
29,Karratha,AU,-20.7377,116.8463,73.99,62,0,11.43,clear sky,2021-10-30 14:56:08
30,Cascais,PT,38.6979,-9.4215,69.51,88,75,3.0,mist,2021-10-30 14:56:09
31,Castro,BR,-24.7911,-50.0119,73.36,63,46,8.25,scattered clouds,2021-10-30 14:55:50
32,Newport,GB,51.5877,-2.9984,57.2,84,39,15.03,scattered clouds,2021-10-30 14:56:09
33,Nikolskoye,RU,59.7035,30.7861,47.88,90,70,6.51,broken clouds,2021-10-30 14:56:10
34,Clyde River,CA,70.4692,-68.5914,30.43,100,90,14.97,snow,2021-10-30 14:56:10
35,Vaini,TO,-21.2,-175.2,71.76,94,20,4.61,few clouds,2021-10-30 14:56:11
36,Kapaa,US,22.0752,-159.319,74.28,82,19,0.74,few clouds,2021-10-30 14:56:11
37,Vila Franca Do Campo,PT,37.7167,-25.4333,76.19,89,88,16.91,overcast clouds,2021-10-30 14:56:11
38,Geraldton,AU,-28.7667,114.6,63.01,72,0,11.5,clear sky,2021-10-30 14:56:12
39,Acapulco,MX,16.8634,-99.8901,80.92,75,2,1.39,clear sky,2021-10-30 14:55:05
40,Hualmay,PE,-11.0964,-77.6139,66.33,77,56,6.51,broken clouds,2021-10-30 14:56:12
41,Ponta Do Sol,PT,32.6667,-17.1,79.0,74,93,9.75,overcast clouds,2021-10-30 14:56:12
42,Aklavik,CA,68.2191,-135.0107,17.6,93,90,8.05,fog,2021-10-30 14:56:13
43,Albany,US,42.6001,-73.9662,54.95,93,100,7.14,overcast clouds,2021-10-30 14:55:12
44,Snyder,US,32.7179,-100.9176,62.74,53,1,4.61,clear sky,2021-10-30 14:56:13
45,Bredasdorp,ZA,-34.5322,20.0403,75.27,60,28,10.36,scattered clouds,2021-10-30 14:56:14
46,New Norfolk,AU,-42.7826,147.0587,50.92,60,79,3.0,light rain,2021-10-30 14:56:14
47,Hasaki,JP,35.7333,140.8333,55.8,57,51,8.1,broken clouds,2021-10-30 14:56:14
